TOTAL, Anul 2016,203231
Alba, Anul 2016,3210
Arad, Anul 2016,4305
Arges, Anul 2016,5457
Bacau, Anul 2016,6626
Bihor, Anul 2016,5968
Bistrita-Nasaud, Anul 2016,3430
Botosani, Anul 2016,4061
Brasov, Anul 2016,6451
Braila, Anul 2016,2585
Buzau, Anul 2016,3805
Caras-Severin, Anul 2016,2453
Calarasi, Anul 2016,2930
Cluj, Anul 2016,7128
Constanta, Anul 2016,7544
Covasna, Anul 2016,2295
Dambovita, Anul 2016,4663
Dolj, Anul 2016,6022
Galati, Anul 2016,5112
Giurgiu, Anul 2016,2429
Gorj, Anul 2016,2904
Harghita, Anul 2016,3229
Hunedoara, Anul 2016,3638
Ialomita, Anul 2016,2666
Iasi, Anul 2016,9676
Ilfov, Anul 2016,4958
Maramures, Anul 2016,4920
Mehedinti, Anul 2016,2462
Mures, Anul 2016,5863
Neamt, Anul 2016,4760
Olt, Anul 2016,3343
Prahova, Anul 2016,6646
Satu Mare, Anul 2016,3661
Salaj, Anul 2016,2581
Sibiu, Anul 2016,4585
Suceava, Anul 2016,8489
Teleorman, Anul 2016,2776
Timis, Anul 2016,7397
Tulcea, Anul 2016,1856
Vaslui, Anul 2016,4581
Valcea, Anul 2016,2746
Vrancea, Anul 2016,3560
Municipiul Bucuresti, Anul 2016,19460
